147	2021-01-12 05:21:42+07	1529	12-get-wo-ellipse	UP
148	2021-01-12 05:21:53+07	3979	13-get-wo-jomjawa	JOM-JW
149	2021-01-12 05:21:56+07	536	14-get-wo-kaltim	UJKT
150	2021-01-12 05:21:59+07	570	14-get-wo-tenayan	UJTY
151	2021-01-12 05:22:05+07	511	14-get-wo-pulpis	UJPS
152	2021-01-12 06:15:08+07	1529	12-get-wo-ellipse	UP
153	2021-01-12 06:15:19+07	3969	13-get-wo-jomjawa	JOM-JW
154	2021-01-12 06:15:22+07	536	14-get-wo-kaltim	UJKT
155	2021-01-12 06:15:26+07	567	14-get-wo-tenayan	UJTY
156	2021-01-12 06:15:28+07	511	14-get-wo-pulpis	UJPS
157	2021-01-12 12:28:23+07	1529	12-get-wo-ellipse	UP
158	2021-01-12 12:28:34+07	3969	13-get-wo-jomjawa	JOM-JW
159	2021-01-12 12:28:37+07	536	14-get-wo-kaltim	UJKT
160	2021-01-12 12:28:41+07	567	14-get-wo-tenayan	UJTY
161	2021-01-12 12:28:43+07	511	14-get-wo-pulpis	UJPS
162	2021-01-13 07:00:08+07	1529	12-get-wo-ellipse	UP
163	2021-01-13 07:00:20+07	3948	13-get-wo-jomjawa	JOM-JW
164	2021-01-13 07:00:46+07	564	14-get-wo-tenayan	UJTY
165	2021-01-13 07:00:48+07	503	14-get-wo-pulpis	UJPS
166	2021-01-13 12:15:10+07	1547	12-get-wo-ellipse	UP
167	2021-01-13 12:15:21+07	3932	13-get-wo-jomjawa	JOM-JW
168	2021-01-13 12:15:24+07	531	14-get-wo-kaltim	UJKT
169	2021-01-13 12:15:28+07	572	14-get-wo-tenayan	UJTY
170	2021-01-13 12:15:32+07	504	14-get-wo-pulpis	UJPS
171	2021-01-14 07:00:11+07	1544	12-get-wo-ellipse	UP
172	2021-01-14 07:00:22+07	3912	13-get-wo-jomjawa	JOM-JW
173	2021-01-14 07:00:25+07	534	14-get-wo-kaltim	UJKT
174	2021-01-14 07:00:29+07	575	14-get-wo-tenayan	UJTY
175	2021-01-14 07:00:31+07	507	14-get-wo-pulpis	UJPS
176	2021-01-14 12:15:08+07	1553	12-get-wo-ellipse	UP
177	2021-01-14 12:15:19+07	3907	13-get-wo-jomjawa	JOM-JW
178	2021-01-14 12:15:22+07	536	14-get-wo-kaltim	UJKT
179	2021-01-14 12:15:26+07	574	14-get-wo-tenayan	UJTY
180	2021-01-14 12:15:30+07	507	14-get-wo-pulpis	UJPS
181	2021-01-15 07:00:12+07	1555	12-get-wo-ellipse	UP
182	2021-01-15 07:00:23+07	3901	13-get-wo-jomjawa	JOM-JW
183	2021-01-15 07:00:26+07	537	14-get-wo-kaltim	UJKT
184	2021-01-15 07:00:31+07	575	14-get-wo-tenayan	UJTY
185	2021-01-15 07:00:33+07	516	14-get-wo-pulpis	UJPS
186	2021-01-15 12:15:08+07	1550	12-get-wo-ellipse	UP
187	2021-01-15 12:15:15+07	3925	13-get-wo-jomjawa	JOM-JW
188	2021-01-15 12:15:17+07	540	14-get-wo-kaltim	UJKT
189	2021-01-15 12:15:21+07	581	14-get-wo-tenayan	UJTY
190	2021-01-15 12:15:23+07	513	14-get-wo-pulpis	UJPS
191	2021-01-16 07:00:37+07	1553	12-get-wo-ellipse	UP
192	2021-01-16 07:00:48+07	3937	13-get-wo-jomjawa	JOM-JW
